,product_name,generic_name,brands,categories
722,Beurre doux (60% MG),Beurre doux à teneur réduite en MG (60%),Elle & Vire,"Produits à tartiner,Produits laitiers,Matières grasses,Spreadable fats,Matières grasses animales,Milkfat,Beurres,Beurres doux"
723,Ahg 50 G Würzpaste Für Thailändisches Rotes Curry,,Asian home gourmet,
724,Sardines au citron,,Belle France,Sardines à l'huile et au citron
725,Mon Paris sans couenne,Jambon cuit de Paris qualité supérieure,Monique Ranou,"Viandes,Charcuteries,Jambons,Jambons blancs,Jambons de Paris"
726,Croustillants carotte cumin,,Les p'tits chefs du bio,
727,Saucisson Rustique (Serrano),Saucisson Rustique (Serrano),Casa Ramon,"Saucissons secs,saucissons serrano"
728,Yaourt vanille bio,Yaourt,"Marie morin,Yaoourts","en:dairies, en:yogurts"
729,Crêpes fourrées au comté,Mini crêpes fourrées d'une préparation à base de comté en poudre,"Mmm!,Auchan","Snacks salés,Apéritif,Biscuits apéritifs"
730,Safran d'Orient poudre,,Spigol,Safran en poudre
731,Mayonnaise à la moutarde,,Carrefour,
732,Cancoillotte à l'ail,,Reflets De France,
733,Peckish Thins Rice Cracker Cheddar Cheese 100g Gluten Free,,Peckish,
734,Gnocchi à Poêler,,Lustucru,Gnocchis
735,Pâtisserie Danoise à la Cannelle,,Patisserie,
736,Légumes à la basquaise & poulet fermier du Poitou,,Babybio,"Aliments pour bébé,Plats principaux pour bébé,Assiettes pour bébé,Dès 15 mois"
737,Gouda & Black Pepper cheese biscuits,Biscuit au fromage de Gouda et poivre noir,Buiteman,Biscuit au fromage
738,Pringles texan bbq sauce,,Pringles,
739,Patatas fritas sabor Chorizo (corte rústico),Chips goût Chorizo,Vicente Vidal,"Snacks salés,Apéritif,Chips et frites,Chips,Chips de pommes de terre,Chips de pommes de terre à l'huile de tournesol"
740,Elephant 1959,Bière blonde,"Carlsberg,Eléphant,BK,Kronenbourg","Boissons,Boissons alcoolisées,Bières,Bières blondes"
741,Smooze!,,Marsanta Foods,
742,Assortiment De,,Eco+,
743,Chocolat noir céréales,,Bonneterre,Chocolats
744,Pâte à tartiner noir pépites d'orange,,Savoir Et Sens,
745,Chocolat noir fourré au praliné,Chocolat noir fourré au praliné aux éclats de noisettes,Leader Price,"Snacks sucrés,Chocolats,Chocolats noirs,Chocolats fourrés au praliné"
746,Mélange de Fruits confits,,"Tablier Blanc,Marque Repère",Fruits confits
747,Pruneaux séchés,,Les mousquetaires,
748,Coca-Cola sans caféine,Cola,Coca-Cola,"Boissons,Boissons gazeuses,Sodas,Boissons sucrées,Sodas au cola sans caféine"
749,Bâtonnets Saveur,,Coraya,
750,Cannelloni Ricotta Épinards ,,Saint Jean,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Plats préparés,Pâtes alimentaires,Pâtes farcies,Cannelloni"
751,Fleur De Miso Curcuma Et Gingembre,,Danival,
752,15 Bâtonnets De Poisson,,Condor,
753,Poudre cacaotée pour petit dejeuner,,Auchan,Chocolats en poudre
754,Jus de pomme Vitafit,Jus de pomme à base de concentré,Vitafit,Jus à base de concentré
755,Dessert frutier Pomme Banane,,Andros,Compotes pommes banane
756,Raviolis au fromage,,Casino,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Stuffed Pastas,Ravioli,Cheese ravioli"
757,Vinaigrette moutarde à l'ancienne allégée en matière grasses,,Belle France,"Epicerie,Sauces,Sauces salades,Vinaigrettes,Vinaigrettes allégées en matières grasses"
758,Frisk 2H Clean Breath Intensemint 35G,,Frisk,
759,Couscous grain moyen,,Casino,semoule
760,Amandes décortiquées,,,Amandes décortiquées
761,Lait demi ecreme UHT AREILLADOU,,Areilladou,en:milks
762,Prefou a l'ail et au persil,,Auchan Le Traiteur,
763,Risotto Agli Spinaci,Risotto aux épinards,ITALIAMO,Risottos
764,Citron jaune,Citron jaune,TAS,Citrons
765,Yaourts aux fruits Mixés - Sans Morceaux,"Yaourt au lait entier, sucré, aux fruits et arômes naturels (pêche, framboise, fraise, mangue, abricot, fruits rouges)","Leader Price,Groupe Casino","Frais,Produits laitiers,Desserts,Yaourts,Yaourts aux fruits,Yaourts mixés,Yaourts sucrés,Yaourts entiers,Yaourts aux fruits sans morceaux,Yaourts multifruits"
766,Mycryo,,BARRY CALLEBAUT,beurre de cacao pour applications salées (matière grasse)
767,Poulet poivre,,Saladbar,en:fats
768,"Spécialité au soja, Myrtille ","Spécialité au soja, aux morceaux de myrtille, au bifidus et à l'acidophilus",Sojade,"Frais,Produits laitiers,Desserts,Desserts végétaliens,Yaourts,Yaourts végétaux,Desserts au soja,Yaourts aux fruits,Yaourts au soja,Yaourts soja aux fruits,Yaourts de soja à la myrtille,Yaourts au Bifidus,Yaourts à la myrtille"
769,Cakes au fruit,Cakes aux fruits confits et raisins secs,Boule D'or,Cakes aux fruits
770,Indian Pale Ale,,Meantime,Bières
771,"Dés de fromage, aux herbes de provence & poivrons rouges","Dés de fromage, aux herbes de provence & poivrons rouges","les croisés,Marque repère",fromage
772,Mag 2 Sommeil - Magnesium Vit. B6 Et Mélatonine,,Cooperl,
773,Jumbo Appel Yoghurt Biscuits,,Jumbo,
774,Monbana,,Monbana,
775,Pure Coconut Oil,,Niharti,en:fats
776,Génoise fraise,,Carrefour,"Snacks sucrés,Biscuits et gâteaux,Pâtisseries"
777,Tarte au Citron,,Tartefrais,"Gâteaux,Tartes au citron"
778,Bâtonnets saveur crabe,Préparation à base de chair de poisson et calmar géant,"Sans marque,Compagnie des Pêches Saint-Malo","Frais,Produits de la mer,Poissons,Surimi,Préparations à base de poissons"
779,Penne Rigate,,"Sans marque,Foodpack",Pâtes sèches
780,Viande des Grisons Séchée en Suisse,"Viande des grisons, en tranches.",Saint-Alby,"Viandes,Boeuf,Viande des grisons,Charcuteries"
781,Glace chocolat avec morceaux de chocolat,,Auchan,
782,Maasdam (27 % MG),"Fromage des Pays-Bas, à pâte pressée non cuite, au lait pasteurisé de vache","Fromapac,Bongrain","Frais,Produits laitiers,Fromages,Fromages de vache,Fromages des Pays-Bas,Fromages à pâte pressée non cuite,Fromages pasteurisés,Maasdam"
783,Clair' Fruits 5 fruits rouges,,La Vie Claire,Confitures de fruits rouges
784,Melange Quinoa Legumes Et Fruits Secs,,Casino,
785,"Datte Muscade 500G,",,Arbona,
786,Bicarbonate Alimentaire,,Sainte Lucie,
787,Olives vertes manzanilla farcies aux anchois,,Auchan,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Pickles,Produits de l'olivier,Pickles d'origine végétale,Olives,Olives vertes,Olives farcies,Olives vertes farcies,Olives vertes farcies aux anchois"
788,Boudin blanc de Rethel,,Patrimoine Gourmand,"Boudins blancs,Boudins blancs de Rethel"
789,Rêve de Lait Nature,Spécialité laitière fermentée nature,U,"Produits laitiers,Yaourts,Yaourts natures"
790,Etoile Au Beurre,,Boni,
